question,key_answer,student_answer,expected_score
"How does financial literacy support long-term decision-making?","Financial literacy acts as human capital that helps people navigate saving, borrowing, and planning decisions. Research shows that people who understand money basics are more likely to plan ahead, compare options, and avoid high-cost decisions that create long-term stress.","Financial literacy only matters for short-term decisions like daily shopping. Long-term planning is determined entirely by income level.",14
"How does financial literacy support long-term decision-making?","Financial literacy acts as human capital that helps people navigate saving, borrowing, and planning decisions. Research shows that people who understand money basics are more likely to plan ahead, compare options, and avoid high-cost decisions that create long-term stress.","Long-term decision-making refers to choosing which movies to watch over a period of several months.",0
"What common money mistakes does financial literacy help prevent?","Financial literacy helps prevent costly mistakes that start small and grow: late payment fees, overdraft charges, buying on credit without understanding interest, forgetting subscriptions, or taking loans without checking repayment terms. These happen because people lack a system for making money decisions.","Being financially literate helps avoid errors like accumulating late fees, paying excessive interest on credit, maintaining unused subscriptions, and accepting unfavorable loan terms without proper evaluation.",94
"What common money mistakes does financial literacy help prevent?","Financial literacy helps prevent costly mistakes that start small and grow: late payment fees, overdraft charges, buying on credit without understanding interest, forgetting subscriptions, or taking loans without checking repayment terms. These happen because people lack a system for making money decisions.","Financial literacy can help you avoid some fees and bad deals, but most money problems are caused by not earning enough.",48
"What common money mistakes does financial literacy help prevent?","Financial literacy helps prevent costly mistakes that start small and grow: late payment fees, overdraft charges, buying on credit without understanding interest, forgetting subscriptions, or taking loans without checking repayment terms. These happen because people lack a system for making money decisions.","Money mistakes only happen to irresponsible people. Financial literacy cannot prevent anything if someone is lazy.",16
"What common money mistakes does financial literacy help prevent?","Financial literacy helps prevent costly mistakes that start small and grow: late payment fees, overdraft charges, buying on credit without understanding interest, forgetting subscriptions, or taking loans without checking repayment terms. These happen because people lack a system for making money decisions.","Financial literacy prevents mistakes in cooking recipes by teaching proper measurement techniques.",4
"What is a budget and what is its purpose?","A budget is a written plan that helps you decide how to spend your money each month. Its purpose is to give your money direction, cover essentials first, make progress on financial goals, and allow guilt-free spending because fun money is already planned.","A budget is a plan for allocating your income across different categories each month. It helps ensure your essential expenses are covered, you are saving toward goals, and you can spend on enjoyable things without feeling guilty.",93
"What is a budget and what is its purpose?","A budget is a written plan that helps you decide how to spend your money each month. Its purpose is to give your money direction, cover essentials first, make progress on financial goals, and allow guilt-free spending because fun money is already planned.","A budget tracks your spending and helps you see where money goes. It is mostly useful for people who want to cut expenses.",58
"What is a budget and what is its purpose?","A budget is a written plan that helps you decide how to spend your money each month. Its purpose is to give your money direction, cover essentials first, make progress on financial goals, and allow guilt-free spending because fun money is already planned.","A budget is a restriction that prevents you from enjoying life and forces you to live cheaply without any fun spending allowed.",12
"What is a budget and what is its purpose?","A budget is a written plan that helps you decide how to spend your money each month. Its purpose is to give your money direction, cover essentials first, make progress on financial goals, and allow guilt-free spending because fun money is already planned.","A budget is a type of government document used for international trade agreements between countries.",4
"Explain the 50/30/20 budgeting rule.","The 50/30/20 rule divides after-tax income into three categories: 50% for needs (essential expenses like rent and utilities), 30% for wants (non-essential spending like entertainment), and 20% for savings and debt repayment. It is a simple starting template that can be adjusted based on individual circumstances.","The 50/30/20 guideline splits take-home pay into 50% for essential needs like housing, 30% for discretionary wants like dining out, and 20% for saving or paying off debt. People can adjust these percentages based on their cost of living.",96
"Explain the 50/30/20 budgeting rule.","The 50/30/20 rule divides after-tax income into three categories: 50% for needs (essential expenses like rent and utilities), 30% for wants (non-essential spending like entertainment), and 20% for savings and debt repayment. It is a simple starting template that can be adjusted based on individual circumstances.","The 50/30/20 rule means dividing your money into three parts, with half going to bills, though the exact percentages might vary for different people.",52
"Explain the 50/30/20 budgeting rule.","The 50/30/20 rule divides after-tax income into three categories: 50% for needs (essential expenses like rent and utilities), 30% for wants (non-essential spending like entertainment), and 20% for savings and debt repayment. It is a simple starting template that can be adjusted based on individual circumstances.","The 50/30/20 rule means you should spend 50% on luxury items, 30% on entertainment, and 20% on food, with no savings required.",8
"Explain the 50/30/20 budgeting rule.","The 50/30/20 rule divides after-tax income into three categories: 50% for needs (essential expenses like rent and utilities), 30% for wants (non-essential spending like entertainment), and 20% for savings and debt repayment. It is a simple starting template that can be adjusted based on individual circumstances.","The 50/30/20 rule is a soccer formation strategy where 5 defenders, 3 midfielders, and 2 forwards are positioned on the field.",2
"What is zero-based budgeting and how does it work?","Zero-based budgeting means allocating every unit of income to a specific purpose so that income minus all planned spending, saving, and debt payments equals zero. It forces clarity by ensuring no money is left unassigned, reducing the mystery of where money went.","In zero-based budgeting, you assign every dollar of income to specific categories including expenses, savings, and debt. The goal is for income minus all allocations to equal zero, meaning all money has a designated purpose.",95
"What is zero-based budgeting and how does it work?","Zero-based budgeting means allocating every unit of income to a specific purpose so that income minus all planned spending, saving, and debt payments equals zero. It forces clarity by ensuring no money is left unassigned, reducing the mystery of where money went.","Zero-based budgeting involves planning your spending categories carefully so that most of your income is accounted for by the end of the month.",62
"What is zero-based budgeting and how does it work?","Zero-based budgeting means allocating every unit of income to a specific purpose so that income minus all planned spending, saving, and debt payments equals zero. It forces clarity by ensuring no money is left unassigned, reducing the mystery of where money went.","Zero-based budgeting means spending all your money until you have zero left in your bank account each month, with nothing saved.",14
"What is zero-based budgeting and how does it work?","Zero-based budgeting means allocating every unit of income to a specific purpose so that income minus all planned spending, saving, and debt payments equals zero. It forces clarity by ensuring no money is left unassigned, reducing the mystery of where money went.","Zero-based budgeting is a method of losing weight by eating zero calories per day.",0
"What is the pay yourself first principle in personal finance?","Pay yourself first means saving money before you are tempted to spend it, treating savings like a bill you pay to your future self. This is done by setting aside a fixed amount right after receiving income, even if it is a small amount, rather than saving only what is left at the end of the month.","The pay yourself first concept involves automatically transferring money to savings immediately after getting paid, before spending on other things. This ensures you prioritize savings as if it were a mandatory expense.",94
"What is the pay yourself first principle in personal finance?","Pay yourself first means saving money before you are tempted to spend it, treating savings like a bill you pay to your future self. This is done by setting aside a fixed amount right after receiving income, even if it is a small amount, rather than saving only what is left at the end of the month.","Pay yourself first means saving some money from your paycheck, usually whatever is convenient or left over after essential bills.",50
"What is the pay yourself first principle in personal finance?","Pay yourself first means saving money before you are tempted to spend it, treating savings like a bill you pay to your future self. This is done by setting aside a fixed amount right after receiving income, even if it is a small amount, rather than saving only what is left at the end of the month.","Pay yourself first means using your income to buy yourself gifts and treats before paying any bills or responsibilities.",18
"What is the pay yourself first principle in personal finance?","Pay yourself first means saving money before you are tempted to spend it, treating savings like a bill you pay to your future self. This is done by setting aside a fixed amount right after receiving income, even if it is a small amount, rather than saving only what is left at the end of the month.","Pay yourself first is an employment law requiring companies to pay workers before the end of each calendar month.",5
"What is a sinking fund and how is it different from an emergency fund?","A sinking fund is money set aside gradually for planned future expenses like annual subscriptions, gifts, or known repairs. It differs from an emergency fund because sinking funds are for expected costs you prepare for, while emergency funds are for unexpected events you cannot predict.","A sinking fund involves saving regularly for anticipated future expenses such as yearly bills or planned purchases. Unlike an emergency fund that covers unforeseen situations, sinking funds address known upcoming costs.",92
"What is a sinking fund and how is it different from an emergency fund?","A sinking fund is money set aside gradually for planned future expenses like annual subscriptions, gifts, or known repairs. It differs from an emergency fund because sinking funds are for expected costs you prepare for, while emergency funds are for unexpected events you cannot predict.","A sinking fund is savings for specific future purchases. It might overlap with emergency savings in some cases since both involve setting money aside.",55
"What is a sinking fund and how is it different from an emergency fund?","A sinking fund is money set aside gradually for planned future expenses like annual subscriptions, gifts, or known repairs. It differs from an emergency fund because sinking funds are for expected costs you prepare for, while emergency funds are for unexpected events you cannot predict.","A sinking fund is exactly the same as an emergency fund since both are just ways to save money for later use.",20
"What is a sinking fund and how is it different from an emergency fund?","A sinking fund is money set aside gradually for planned future expenses like annual subscriptions, gifts, or known repairs. It differs from an emergency fund because sinking funds are for expected costs you prepare for, while emergency funds are for unexpected events you cannot predict.","A sinking fund is money you throw into a pond or lake as a cultural ritual for good luck.",3
"What are the main functions of banks in an economy?","Banks perform three core functions: (1) accepting deposits to allow safe storage of money, (2) enabling payments by providing infrastructure for money to move between parties, and (3) providing credit by making loans that support consumption and investment. Banks also create money when they make loans.","Banks serve the economy by accepting deposits for safekeeping, facilitating payment transactions between people and businesses, and extending credit through loans. Additionally, commercial banks create money when they issue loans.",95
"What are the main functions of banks in an economy?","Banks perform three core functions: (1) accepting deposits to allow safe storage of money, (2) enabling payments by providing infrastructure for money to move between parties, and (3) providing credit by making loans that support consumption and investment. Banks also create money when they make loans.","Banks hold your money and let you pay bills. They also give loans sometimes when people need money.",48
"What are the main functions of banks in an economy?","Banks perform three core functions: (1) accepting deposits to allow safe storage of money, (2) enabling payments by providing infrastructure for money to move between parties, and (3) providing credit by making loans that support consumption and investment. Banks also create money when they make loans.","Banks only print physical cash and distribute it to the population. They do not handle deposits or loans.",12
"What are the main functions of banks in an economy?","Banks perform three core functions: (1) accepting deposits to allow safe storage of money, (2) enabling payments by providing infrastructure for money to move between parties, and (3) providing credit by making loans that support consumption and investment. Banks also create money when they make loans.","Banks are financial institutions that manufacture credit cards made of plastic materials.",4
"What is the difference between a checking account and a savings account?","A checking account is designed for frequent transactions like deposits, withdrawals, and bill payments, prioritizing high liquidity. A savings account is designed to hold money rather than circulate it, typically offering interest in exchange for less transactional flexibility.","Checking accounts are meant for everyday use with easy access for paying bills and withdrawing cash. Savings accounts prioritize storing money and usually earn some interest but have fewer transaction features.",93
"What is the difference between a checking account and a savings account?","A checking account is designed for frequent transactions like deposits, withdrawals, and bill payments, prioritizing high liquidity. A savings account is designed to hold money rather than circulate it, typically offering interest in exchange for less transactional flexibility.","Checking accounts are for spending and savings accounts are for saving, though both can be used for similar purposes in some cases.",55
"What is the difference between a checking account and a savings account?","A checking account is designed for frequent transactions like deposits, withdrawals, and bill payments, prioritizing high liquidity. A savings account is designed to hold money rather than circulate it, typically offering interest in exchange for less transactional flexibility.","Checking accounts and savings accounts are exactly the same product with different names used by different banks.",10
"What is the difference between a checking account and a savings account?","A checking account is designed for frequent transactions like deposits, withdrawals, and bill payments, prioritizing high liquidity. A savings account is designed to hold money rather than circulate it, typically offering interest in exchange for less transactional flexibility.","A checking account is used to verify sports equipment quality, while a savings account stores physical documents.",2
"What is compound interest and why is it important?","Compound interest is interest earned on both the original principal and the accumulated interest from previous periods. It is important because it allows money to grow faster over time since each period's interest is calculated on an increasingly larger balance.","Compound interest means earning interest on your initial deposit plus all the interest previously accumulated. It matters because it accelerates wealth growth as the base amount continuously increases.",96
"What is compound interest and why is it important?","Compound interest is interest earned on both the original principal and the accumulated interest from previous periods. It is important because it allows money to grow faster over time since each period's interest is calculated on an increasingly larger balance.","Compound interest is when banks add interest to your account periodically. It helps your money grow faster than simple interest.",58
"What is compound interest and why is it important?","Compound interest is interest earned on both the original principal and the accumulated interest from previous periods. It is important because it allows money to grow faster over time since each period's interest is calculated on an increasingly larger balance.","Compound interest is the same as simple interest because both involve earning returns on deposited money.",15
"What is compound interest and why is it important?","Compound interest is interest earned on both the original principal and the accumulated interest from previous periods. It is important because it allows money to grow faster over time since each period's interest is calculated on an increasingly larger balance.","Compound interest is a chemistry term describing how molecules combine under pressure.",0
"What is the difference between APY and APR?","APY (Annual Percentage Yield) measures interest earned on savings including the effect of compounding, making it useful for comparing deposit products. APR (Annual Percentage Rate) measures borrowing costs and is often presented without compounding in the same way, commonly used for loans and credit products.","APY represents the total annual interest earned on deposits with compounding included, while APR shows the annual cost of borrowing typically without compounding effects. APY is for savings comparison, APR is for loan comparison.",94
"What is the difference between APY and APR?","APY (Annual Percentage Yield) measures interest earned on savings including the effect of compounding, making it useful for comparing deposit products. APR (Annual Percentage Rate) measures borrowing costs and is often presented without compounding in the same way, commonly used for loans and credit products.","APY and APR are both percentages related to interest rates. APY is usually higher than APR because of how they calculate things differently.",50
"What is the difference between APY and APR?","APY (Annual Percentage Yield) measures interest earned on savings including the effect of compounding, making it useful for comparing deposit products. APR (Annual Percentage Rate) measures borrowing costs and is often presented without compounding in the same way, commonly used for loans and credit products.","APY and APR are the same thing and can be used interchangeably for any financial product.",12
"What is the difference between APY and APR?","APY (Annual Percentage Yield) measures interest earned on savings including the effect of compounding, making it useful for comparing deposit products. APR (Annual Percentage Rate) measures borrowing costs and is often presented without compounding in the same way, commonly used for loans and credit products.","APY stands for Annual Physical Yoga and APR means Annual Physical Review, both related to health insurance.",3
"How do commercial banks create money?","Commercial banks create money when they make loans. When a bank approves a loan, it records the loan as an asset and credits the borrower's deposit account with a matching deposit. This new deposit represents newly created money that can be spent through the payment system.","Banks create money through the lending process. When issuing a loan, the bank simultaneously creates a new deposit in the borrower's account, adding new purchasing power to the economy that did not exist before.",95
"How do commercial banks create money?","Commercial banks create money when they make loans. When a bank approves a loan, it records the loan as an asset and credits the borrower's deposit account with a matching deposit. This new deposit represents newly created money that can be spent through the payment system.","Banks create money by giving loans to customers. The money appears in the borrower's account and can be used for purchases.",62
"How do commercial banks create money?","Commercial banks create money when they make loans. When a bank approves a loan, it records the loan as an asset and credits the borrower's deposit account with a matching deposit. This new deposit represents newly created money that can be spent through the payment system.","Banks can only lend out money that has been deposited by other customers. They cannot create new money.",18
"How do commercial banks create money?","Commercial banks create money when they make loans. When a bank approves a loan, it records the loan as an asset and credits the borrower's deposit account with a matching deposit. This new deposit represents newly created money that can be spent through the payment system.","Commercial banks create money by operating printing machines in their basements to produce new banknotes.",5
"What is credit and what is the relationship between credit and debt?","Credit is an arrangement allowing one party to receive value now and repay later, typically involving interest. When credit is used, it creates debt, which is a structured obligation requiring future payments of principal and interest at fixed dates.","Credit lets you obtain goods, services, or money now with the promise to pay later. Using credit results in debt, which represents your legal obligation to make scheduled repayments including interest.",94
"What is credit and what is the relationship between credit and debt?","Credit is an arrangement allowing one party to receive value now and repay later, typically involving interest. When credit is used, it creates debt, which is a structured obligation requiring future payments of principal and interest at fixed dates.","Credit means borrowing money and debt is what you owe. They are connected because using credit leads to having debt.",58
"What is credit and what is the relationship between credit and debt?","Credit is an arrangement allowing one party to receive value now and repay later, typically involving interest. When credit is used, it creates debt, which is a structured obligation requiring future payments of principal and interest at fixed dates.","Credit and debt are completely separate concepts. Credit helps you build wealth while debt only makes you poor.",15
"What is credit and what is the relationship between credit and debt?","Credit is an arrangement allowing one party to receive value now and repay later, typically involving interest. When credit is used, it creates debt, which is a structured obligation requiring future payments of principal and interest at fixed dates.","Credit refers to the points you earn in video games for completing levels successfully.",2
"What is the difference between revolving credit and installment credit?","Revolving credit allows borrowing up to a credit limit, repaying, and borrowing again with no fixed end date, like credit cards. Installment credit provides a fixed amount upfront that is repaid through scheduled payments over a defined term, like personal loans.","Revolving credit works like a reusable credit line where you borrow, repay, and borrow again within your limit. Installment credit gives you a lump sum upfront that you pay back in regular installments over a set period.",96
"What is the difference between revolving credit and installment credit?","Revolving credit allows borrowing up to a credit limit, repaying, and borrowing again with no fixed end date, like credit cards. Installment credit provides a fixed amount upfront that is repaid through scheduled payments over a defined term, like personal loans.","Revolving credit lets you borrow repeatedly while installment credit is a one-time loan. Credit cards and personal loans are examples.",60
"What is the difference between revolving credit and installment credit?","Revolving credit allows borrowing up to a credit limit, repaying, and borrowing again with no fixed end date, like credit cards. Installment credit provides a fixed amount upfront that is repaid through scheduled payments over a defined term, like personal loans.","Revolving credit and installment credit are the same thing because both require monthly payments.",12
"What is the difference between revolving credit and installment credit?","Revolving credit allows borrowing up to a credit limit, repaying, and borrowing again with no fixed end date, like credit cards. Installment credit provides a fixed amount upfront that is repaid through scheduled payments over a defined term, like personal loans.","Revolving credit is used for rotating office chairs, while installment credit is for installing new equipment.",0
"What is amortization in loan repayment?","Amortization is the process of paying off a loan through regular payments over time so that the amount owed gradually decreases. Each payment is split between principal and interest, with early payments having a higher interest portion because interest is calculated on the remaining balance.","Amortization means repaying a loan through scheduled payments where each installment covers both principal and interest. Initially, more of each payment goes toward interest, but as the balance decreases, more goes toward principal.",95
"What is amortization in loan repayment?","Amortization is the process of paying off a loan through regular payments over time so that the amount owed gradually decreases. Each payment is split between principal and interest, with early payments having a higher interest portion because interest is calculated on the remaining balance.","Amortization is paying off loans in installments. The payments stay the same but the breakdown between interest and principal changes.",55
"What is amortization in loan repayment?","Amortization is the process of paying off a loan through regular payments over time so that the amount owed gradually decreases. Each payment is split between principal and interest, with early payments having a higher interest portion because interest is calculated on the remaining balance.","Amortization means paying only interest for the entire loan term and then paying the principal in one final payment.",14
"What is amortization in loan repayment?","Amortization is the process of paying off a loan through regular payments over time so that the amount owed gradually decreases. Each payment is split between principal and interest, with early payments having a higher interest portion because interest is calculated on the remaining balance.","Amortization is a medical procedure for treating joint inflammation.",3
"What is creditworthiness and how do lenders assess it?","Creditworthiness is how lenders estimate the risk that a borrower might not repay. Lenders assess it by evaluating ability to repay through income and existing obligations, and repayment behavior through credit reports and scores that show past payment history.","Creditworthiness measures the likelihood that a borrower will repay on time. Lenders evaluate it by looking at income, current debts, and credit history including payment patterns and credit scores.",94
"What is creditworthiness and how do lenders assess it?","Creditworthiness is how lenders estimate the risk that a borrower might not repay. Lenders assess it by evaluating ability to repay through income and existing obligations, and repayment behavior through credit reports and scores that show past payment history.","Creditworthiness is about whether you can get approved for loans. Banks check your income and credit score to decide.",52
"What is creditworthiness and how do lenders assess it?","Creditworthiness is how lenders estimate the risk that a borrower might not repay. Lenders assess it by evaluating ability to repay through income and existing obligations, and repayment behavior through credit reports and scores that show past payment history.","Creditworthiness is based solely on how much money you have in your bank account right now.",16
"What is creditworthiness and how do lenders assess it?","Creditworthiness is how lenders estimate the risk that a borrower might not repay. Lenders assess it by evaluating ability to repay through income and existing obligations, and repayment behavior through credit reports and scores that show past payment history.","Creditworthiness is a personality trait that determines how trustworthy someone is in social situations.",5
"What is the framework for evaluating good debt versus bad debt?","Good versus bad debt is evaluated using three pillars: purpose (does it build long-term capacity or fund short-lived consumption), cost (total interest, fees, and penalties), and repayment burden (what share of income goes to debt payments). Debt is better when it finances lasting value at affordable terms.","Evaluating debt quality involves examining purpose (whether it creates lasting value), cost (total interest and fees), and affordability (monthly payment relative to income). Good debt builds future capacity while remaining manageable to repay.",93
"What is the framework for evaluating good debt versus bad debt?","Good versus bad debt is evaluated using three pillars: purpose (does it build long-term capacity or fund short-lived consumption), cost (total interest, fees, and penalties), and repayment burden (what share of income goes to debt payments). Debt is better when it finances lasting value at affordable terms.","Good debt is for education and homes while bad debt is for luxury items. The interest rate also matters.",48
"What is the framework for evaluating good debt versus bad debt?","Good versus bad debt is evaluated using three pillars: purpose (does it build long-term capacity or fund short-lived consumption), cost (total interest, fees, and penalties), and repayment burden (what share of income goes to debt payments). Debt is better when it finances lasting value at affordable terms.","All debt is bad debt because borrowing money always leads to financial problems regardless of the purpose.",12
"What is the framework for evaluating good debt versus bad debt?","Good versus bad debt is evaluated using three pillars: purpose (does it build long-term capacity or fund short-lived consumption), cost (total interest, fees, and penalties), and repayment burden (what share of income goes to debt payments). Debt is better when it finances lasting value at affordable terms.","Good debt has a pleasant smell while bad debt has an unpleasant odor that you can detect in financial documents.",0
"What is a tax and what are its three key characteristics?","A tax is a compulsory payment to the state collected according to law. Its three key characteristics are: (1) it is compulsory and legally required, (2) there is no direct one-to-one benefit in return, and (3) revenue is used for public purposes like infrastructure, education, and social programs.","Taxes are mandatory payments to the government enforced by law. The key features are that they are legally required, do not provide direct individual benefits in exchange, and fund public goods and services for society.",95
"What is a tax and what are its three key characteristics?","A tax is a compulsory payment to the state collected according to law. Its three key characteristics are: (1) it is compulsory and legally required, (2) there is no direct one-to-one benefit in return, and (3) revenue is used for public purposes like infrastructure, education, and social programs.","Taxes are payments to the government that fund public services. They are required by law and help pay for things like roads and schools.",58
"What is a tax and what are its three key characteristics?","A tax is a compulsory payment to the state collected according to law. Its three key characteristics are: (1) it is compulsory and legally required, (2) there is no direct one-to-one benefit in return, and (3) revenue is used for public purposes like infrastructure, education, and social programs.","Taxes are optional donations to the government that you pay voluntarily in exchange for specific personal services.",10
"What is a tax and what are its three key characteristics?","A tax is a compulsory payment to the state collected according to law. Its three key characteristics are: (1) it is compulsory and legally required, (2) there is no direct one-to-one benefit in return, and (3) revenue is used for public purposes like infrastructure, education, and social programs.","A tax is the name for a type of taxi cab that operates in major cities around the world.",0
"What is the difference between gross income and net income?","Gross income is income before any deductions. Net income (take-home pay) is income after compulsory deductions like income tax withholding. This distinction matters because loan repayments and daily expenses are paid from net income, not gross income.","Gross income represents your total earnings before taxes and other deductions are subtracted. Net income is what actually arrives in your bank account after those deductions, which is what you use to pay bills and loans.",94
"What is the difference between gross income and net income?","Gross income is income before any deductions. Net income (take-home pay) is income after compulsory deductions like income tax withholding. This distinction matters because loan repayments and daily expenses are paid from net income, not gross income.","Gross income is your salary on paper and net income is what you receive. The difference is due to tax deductions.",60
"What is the difference between gross income and net income?","Gross income is income before any deductions. Net income (take-home pay) is income after compulsory deductions like income tax withholding. This distinction matters because loan repayments and daily expenses are paid from net income, not gross income.","Gross income and net income are the same thing because all your salary goes directly into your bank account.",12
"What is the difference between gross income and net income?","Gross income is income before any deductions. Net income (take-home pay) is income after compulsory deductions like income tax withholding. This distinction matters because loan repayments and daily expenses are paid from net income, not gross income.","Gross income refers to disgusting or unclean money, while net income is money caught in a fishing net.",3
"What is PTKP and PKP in Indonesian income tax?","PTKP (Penghasilan Tidak Kena Pajak) is the portion of income that is not taxed, functioning as a tax-free threshold. PKP (Penghasilan Kena Pajak) is the taxable income after subtracting PTKP. Only PKP is subject to progressive tax rates.","PTKP is the non-taxable income allowance that protects a basic amount from tax. PKP is the taxable portion of income calculated by subtracting PTKP from total income. The progressive tax rates apply only to PKP.",96
"What is PTKP and PKP in Indonesian income tax?","PTKP (Penghasilan Tidak Kena Pajak) is the portion of income that is not taxed, functioning as a tax-free threshold. PKP (Penghasilan Kena Pajak) is the taxable income after subtracting PTKP. Only PKP is subject to progressive tax rates.","PTKP is tax-free income and PKP is the taxable amount. You need to calculate PKP before knowing how much tax you owe.",55
"What is PTKP and PKP in Indonesian income tax?","PTKP (Penghasilan Tidak Kena Pajak) is the portion of income that is not taxed, functioning as a tax-free threshold. PKP (Penghasilan Kena Pajak) is the taxable income after subtracting PTKP. Only PKP is subject to progressive tax rates.","PTKP and PKP are the same thing with different abbreviations. All income is taxed at the same flat rate in Indonesia.",10
"What is PTKP and PKP in Indonesian income tax?","PTKP (Penghasilan Tidak Kena Pajak) is the portion of income that is not taxed, functioning as a tax-free threshold. PKP (Penghasilan Kena Pajak) is the taxable income after subtracting PTKP. Only PKP is subject to progressive tax rates.","PTKP is a type of Indonesian rice dish and PKP is a traditional dance from Central Java.",0
"How do progressive tax rates work?","Progressive tax rates mean that higher layers of taxable income are taxed at higher rates. Only the portion of income that falls into each bracket is taxed at that bracket's rate, so entering a higher bracket does not mean all income is taxed at the higher rate.","In a progressive tax system, income is taxed in layers where each bracket has its own rate. Higher income portions face higher rates, but lower portions still get taxed at lower rates regardless of total income.",95
"How do progressive tax rates work?","Progressive tax rates mean that higher layers of taxable income are taxed at higher rates. Only the portion of income that falls into each bracket is taxed at that bracket's rate, so entering a higher bracket does not mean all income is taxed at the higher rate.","Progressive rates apply higher percentages to higher income. Different parts of income are taxed at different rates based on brackets.",58
"How do progressive tax rates work?","Progressive tax rates mean that higher layers of taxable income are taxed at higher rates. Only the portion of income that falls into each bracket is taxed at that bracket's rate, so entering a higher bracket does not mean all income is taxed at the higher rate.","When you enter a higher tax bracket, all of your income becomes taxed at that higher rate, making it bad to earn more money.",15
